Date,Symbol,Price ($),% Change,Moving Avg (5),Volatility,Anomaly
2025-03-22 19:03:45,AAPL,218.36000061035156,0.4854964083335089,216.35856018066406,1.402305282710032,NO
2025-03-22 19:03:45,MSFT,196.22000122070312,-0.22880813160715388,196.03999938964844,0.40478385150294793,NO
2025-03-22 19:03:45,GOOGL,521.5700073242188,-0.1397626815644025,522.3,0.43260722525601514,NO
2025-03-22 19:03:45,AMZN,164.02000427246094,0.14654139391433502,163.3699981689453,0.49406832167917214,NO
2025-03-22 19:03:45,TSLA,241.61000061035156,0.02070005475376094,241.53899841308595,0.04954760880551878,NO
2025-03-22 19:03:45,META,596.239990234375,0.25052378888188315,594.52099609375,1.0637799356605686,NO
2025-03-22 19:03:45,NVDA,391.30999755859375,0.7777663465997962,387.18068237304686,2.6249341413277185,NO
2025-03-22 19:03:45,BRK-B,117.63500213623047,0.5427368685730503,116.9739990234375,0.39316852798622715,NO
2025-03-22 19:03:45,JPM,249.11500549316406,0.062258505429354766,247.35074157714843,1.621115802685259,NO
2025-03-22 19:03:45,V,335.7099914550781,-0.22439329232759064,336.233056640625,0.29842602441851207,NO
